fname,label
clip_65e2a54b9.wav,9
clip_fdc9c5143.wav,9
clip_e485bd319.wav,2
clip_f4ab9fc9f.wav,9
clip_d89943ad6.wav,3
clip_bc3d11086.wav,1
clip_c984cdfc2.wav,6
clip_900e3fa16.wav,1
clip_db379f0d3.wav,2
clip_fa4530d2d.wav,9
clip_1bf5a0d12.wav,5
clip_fea78479d.wav,9
clip_b47da738a.wav,6
clip_753ce270f.wav,4
clip_deb6a02aa.wav,10
clip_887c6d9dd.wav,9
clip_9dd9a2477.wav,6
clip_aa9b376ce.wav,7
clip_a52afd5ad.wav,5
clip_fe9db17e4.wav,4
clip_0546e4a37.wav,8
clip_33be61a1d.wav,5
clip_45e404aaa.wav,5
clip_4ee9ef286.wav,6
clip_f23fe8642.wav,9
clip_90540c402.wav,2
clip_e98489cb9.wav,3
clip_b2374d49e.wav,0
clip_c104ca1a3.wav,5
clip_0938195d0.wav,6
clip_3ad871069.wav,4
clip_c7b0e9f56.wav,1
clip_4d830e7cd.wav,6
clip_f614741b0.wav,1
clip_215b75b00.wav,6
clip_acceaeea5.wav,9
clip_298944b5c.wav,4
clip_576bf79e9.wav,6
clip_c66a226de.wav,6
clip_762f397cd.wav,4
clip_4122999ee.wav,5
clip_3cfb8ff57.wav,6
clip_d54927715.wav,3
clip_763baffbd.wav,3
clip_fcfa78827.wav,4
clip_bb145dd63.wav,10
clip_e40d3f8bc.wav,1
clip_0b5a14923.wav,9
clip_3b0942786.wav,8
clip_215950959.wav,5
clip_2bd1a0a01.wav,5
clip_6b63ab055.wav,6
clip_b3e0bd925.wav,0
clip_050e6c942.wav,1
clip_06589e604.wav,10
clip_4778aa9ed.wav,10
clip_901df3c47.wav,6
clip_7d5ad3ed7.wav,4
clip_e83a33d9a.wav,3
clip_bcf657c5b.wav,0
clip_783ebb21c.wav,3
clip_1833aa43d.wav,2
clip_5920fe37b.wav,7
clip_9baf02a0d.wav,6
clip_43b17ce87.wav,4
clip_48a2becf6.wav,3
clip_0caa09853.wav,3
clip_cb3d73710.wav,1
clip_36d101f02.wav,6
clip_e521585ff.wav,0
clip_d63555ff0.wav,2
clip_2ac034748.wav,8
clip_bab8f98da.wav,4
clip_469e79271.wav,8
clip_ec70812b0.wav,10
clip_5e441f58b.wav,8
clip_13d7c9185.wav,9
clip_28a8a2785.wav,5
clip_452fc8e9f.wav,1
clip_b60e2cf7a.wav,5
clip_c1be009ea.wav,1
clip_2d44e5a9b.wav,9
clip_75e36b234.wav,2
clip_938646102.wav,3
clip_55433741c.wav,0
clip_1412e110e.wav,3
clip_a60b21fe7.wav,9
clip_98a932bbe.wav,9
clip_86ea7671a.wav,6
clip_44ab672ce.wav,1
clip_2b2fb00ad.wav,9
clip_2e2bd91f3.wav,5
clip_f931466e4.wav,6
clip_3945d7abf.wav,5
clip_db05b093f.wav,9
clip_865cb9fa9.wav,5
clip_a223b1c42.wav,6
clip_1727848a5.wav,9
clip_5b7f029a8.wav,1
clip_5c4a65192.wav,9
clip_dd526d80e.wav,9
clip_791405d8b.wav,3
clip_18e31750a.wav,10
clip_354d78b34.wav,1
clip_1dc5a31f7.wav,0
clip_0003e6aee.wav,2
clip_8981dabdb.wav,10
clip_5ee57373c.wav,6
clip_ad89bf131.wav,4
clip_5de13c026.wav,7
clip_19cecf349.wav,3
clip_6daa8d067.wav,4
clip_027df050d.wav,3
clip_1aa1ab70c.wav,0
clip_7c34e865b.wav,3
clip_03ad4b334.wav,4
clip_a41e42b77.wav,9
clip_15e5fb833.wav,9
clip_5fbcfa131.wav,6
clip_4d53a8cf9.wav,0
clip_05e264a94.wav,5
clip_c09bc4e5c.wav,5
clip_e2bf34f91.wav,3
clip_e44a11e5c.wav,8
clip_051101943.wav,5
clip_b2bd8d069.wav,9
clip_5ec041b82.wav,4
clip_1894897e2.wav,0
clip_cde471ee9.wav,5
clip_d6e4c77c7.wav,4
clip_983e541cb.wav,0
clip_792fcbf72.wav,8
clip_359dad939.wav,9
clip_403599898.wav,10
clip_7254a1ce3.wav,6
clip_b02b5d1d3.wav,6
clip_c23d30211.wav,3
clip_bc8d5783c.wav,2
clip_f7dc6ce97.wav,7
clip_24f624c39.wav,2
clip_beee91ac9.wav,10
clip_9dcf29be1.wav,9
clip_2c065ffb1.wav,7
clip_9f6953483.wav,10
clip_1a93f588b.wav,6
clip_9898d3e9d.wav,7
clip_1f1d6148b.wav,9
clip_02b9c671e.wav,10
clip_607ae24f3.wav,6
clip_00a4675b5.wav,8
clip_99053da52.wav,3
clip_31c07bd29.wav,4
clip_ed4948cf5.wav,6
clip_019634594.wav,1
clip_07c45b61c.wav,1
clip_0294cf838.wav,7
clip_85139487c.wav,3
clip_73b6a22f8.wav,6
clip_dae875e7c.wav,6
clip_bd137c270.wav,6
clip_070bbb455.wav,8
clip_c43bebbe8.wav,0
clip_208d2a06a.wav,2
clip_70caa9030.wav,3
clip_57a60c223.wav,1
clip_cfebf06df.wav,5
clip_05fd4cc1a.wav,6
clip_e6878f554.wav,4
clip_2643cb2c2.wav,1
clip_42fd3f729.wav,10
clip_80084df82.wav,1
clip_46fdd6cfe.wav,3
clip_a0cdd4c61.wav,5
clip_d14d0f914.wav,9
clip_defb1d2e2.wav,3
clip_169b82e05.wav,7
clip_a775d2a69.wav,2
clip_e7cc175b4.wav,3
clip_b616bf0e4.wav,7
clip_78eae3033.wav,4
clip_e346fa332.wav,2
clip_c07706707.wav,9
clip_c5003706c.wav,8
clip_be4d6cbb3.wav,7
clip_1b427a5c0.wav,3
clip_dcd0564ed.wav,8
clip_1121005d8.wav,3
clip_2cfa527bb.wav,6
clip_0db1dfe2d.wav,6
clip_c70dda2e1.wav,2
clip_f1541c1b6.wav,2
clip_60a96fdca.wav,5
clip_bf315e23a.wav,9
clip_41537d232.wav,4
clip_d7e73363c.wav,1
clip_dad99e2fa.wav,5
clip_f3bee5ce0.wav,9
clip_2d7d83b61.wav,6
clip_9b3b8492a.wav,6
clip_ae939fedb.wav,5
clip_a6b47312f.wav,2
clip_614608e10.wav,2
clip_d55fd2f6d.wav,8
clip_ceffeb562.wav,3
clip_3f9792df7.wav,10
clip_4ba3ecb24.wav,8
clip_635b8606f.wav,0
clip_19624ff57.wav,7
clip_655a9840a.wav,7
clip_bfe746c72.wav,3
clip_5a33e0388.wav,0
clip_de913967e.wav,3
clip_46c7593b2.wav,8
clip_e91600fe6.wav,9
clip_521dae3e5.wav,6
clip_b860f32c0.wav,8
clip_539a6c884.wav,8
clip_a11651ece.wav,3
clip_2605bc97d.wav,8
clip_a3a3c3a3c.wav,6
clip_e7be9e23f.wav,3
clip_8697f85e0.wav,1
clip_690cc509a.wav,8
clip_688110bb0.wav,6
clip_2111e881c.wav,9
clip_91498c9d5.wav,10
clip_3b55cc012.wav,8
clip_2f84a1ffa.wav,0
clip_e265cb461.wav,10
clip_2798f3cf4.wav,7
clip_20f7ed74b.wav,3
clip_334e5ea8b.wav,5
clip_871ff86f7.wav,3
clip_07fb09e5b.wav,6
clip_cd1209539.wav,9
clip_e66657c11.wav,6
clip_5e43f1516.wav,10
clip_f3592cee8.wav,6
clip_9c809bbd3.wav,9
clip_2bd6a35dd.wav,5
clip_891e35e41.wav,1
clip_ced189265.wav,9
clip_c42217643.wav,2
clip_f547c40da.wav,7
clip_43b7ca6de.wav,1
clip_146190673.wav,4
clip_6b16837d4.wav,0
clip_01cb13ddf.wav,6
clip_b18af21b0.wav,1
clip_78dd618f7.wav,0
clip_10eaa6c80.wav,9
clip_13ff35b18.wav,1
clip_df3540d02.wav,3
clip_84553e327.wav,9
clip_0af631926.wav,10
clip_3328ac700.wav,6
clip_dafae3ab6.wav,7
clip_88e9caa41.wav,5
clip_4d15b1724.wav,7
clip_c47340bf5.wav,6
clip_c5cc74b1f.wav,5
clip_8b9fa59ce.wav,6
clip_a370e8e1c.wav,5
clip_11a4f395f.wav,3
clip_e100ee902.wav,5
clip_12e744371.wav,10
clip_6bfad137c.wav,4
clip_3fdf81b6f.wav,10
clip_640c2bc3a.wav,5
clip_600beac6a.wav,0
clip_b035b3d23.wav,7
clip_f9632de26.wav,6
clip_055e399de.wav,2
clip_32213bb3c.wav,9
clip_9f8907a02.wav,0
clip_851c27131.wav,5
clip_5ba88fcd8.wav,2
clip_8610d9e4d.wav,9
clip_7f81716ef.wav,10
clip_b903ccfbb.wav,9
clip_bdd5a5f4a.wav,4
clip_971e19ff8.wav,9
clip_24c4c89ea.wav,3
clip_736c8ed52.wav,6
clip_02ed514f8.wav,10
clip_a82220eba.wav,8
clip_9ad5650ba.wav,9
clip_51cac8ca3.wav,7
clip_b270e4f36.wav,5
clip_540f9bfb8.wav,5
clip_5a2e62597.wav,10
clip_c0512bceb.wav,3
clip_95f03303a.wav,0
clip_5f2d0f738.wav,8
clip_1fbeba793.wav,4
clip_d25f7d600.wav,9
clip_398b66946.wav,8
clip_8be6d8a6e.wav,6
clip_edc950e30.wav,8
clip_c132b0812.wav,6
clip_cf7ee9c19.wav,6
clip_10400f612.wav,10
clip_f27e426eb.wav,7
clip_2f24ae751.wav,0
clip_83ae46490.wav,6
clip_4f8c6d793.wav,8
clip_c8d3d8035.wav,1
clip_12933e4d2.wav,10
clip_a8e9ffb85.wav,3
clip_3cf75e263.wav,5
clip_7ec074cb7.wav,8
clip_822401bc2.wav,8
clip_ae6920d92.wav,9
clip_5d9f950b0.wav,9
clip_f0cb3553a.wav,9
clip_abb8fd9dd.wav,1
clip_4c9e87197.wav,4
clip_a1d938998.wav,4
clip_ef7f5442a.wav,8
clip_9ca08ae1f.wav,10
clip_22f485b13.wav,5
clip_8c327a845.wav,4
clip_52033c960.wav,9
clip_4aba69d7f.wav,3
clip_e779e6ed2.wav,4
clip_e1fc04df4.wav,8
clip_10dba9381.wav,1
clip_fd338d38c.wav,3
clip_e7c40af7f.wav,3
clip_5f2470c31.wav,2
clip_4f64d0ae5.wav,5
clip_f4e88c4c8.wav,9
clip_6bc52bb67.wav,2
clip_a13f98d51.wav,7
clip_3d7a0ca8d.wav,8
clip_3769c6c91.wav,9
clip_369372d86.wav,10
clip_45755a643.wav,1
clip_70e137db1.wav,3
clip_1a087ae43.wav,9
clip_ec97a35aa.wav,8
clip_9e5bddb10.wav,8
clip_4b69e35c4.wav,2
clip_bb2168fce.wav,9
clip_bd1616bfe.wav,5
clip_11ad22f8a.wav,4
clip_04ae3c62b.wav,2
clip_66064f018.wav,9
clip_610013a11.wav,6
clip_ac53d9994.wav,7
clip_ae939a7e9.wav,4
clip_842a82986.wav,9
clip_5bbbf76b2.wav,6
clip_35d7dbf68.wav,6
clip_44a030569.wav,1
clip_686204d48.wav,5
clip_79baa6e7b.wav,8
clip_11a3eba5b.wav,4
clip_9f8860ea7.wav,3
clip_cb36ce077.wav,9
clip_d10da4714.wav,0
clip_c1182757e.wav,3
clip_83fa2afc0.wav,6
clip_2b2930d65.wav,5
clip_5a7053487.wav,8
clip_f2db99328.wav,0
clip_e40351a75.wav,9
clip_32e0a2bc9.wav,10
clip_048a6b13e.wav,5
clip_534325ecf.wav,10
clip_f7aa2a5ab.wav,6
clip_3198d6726.wav,6
clip_f8d59ccba.wav,2
clip_2a2127f56.wav,5
clip_c4d5002d2.wav,8
clip_7bd787045.wav,6
clip_8598831dd.wav,7
clip_a1dff0013.wav,7
clip_97b17e28a.wav,3
clip_70c601e69.wav,7
