fname,label
clip_3146955c7.wav,1
clip_32ad4f96d.wav,3
clip_6db15832e.wav,2
clip_505debe7e.wav,8
clip_ff4166f9e.wav,4
clip_e963fdf3c.wav,5
clip_c5b0e5ce8.wav,3
clip_81b722c5b.wav,4
clip_bd2af18a8.wav,1
clip_e03ee6bfb.wav,5
clip_064771499.wav,1
clip_8deccb8f7.wav,6
clip_d33a723dc.wav,10
clip_95e4c3a78.wav,6
clip_ab7ed09dc.wav,6
clip_d372e037a.wav,5
clip_e63461149.wav,5
clip_aa17c6ea2.wav,5
clip_0c36a19dc.wav,9
clip_97f669ccb.wav,3
clip_1b64a929c.wav,5
clip_0791cc9af.wav,1
clip_50c0786a8.wav,7
clip_c33762036.wav,8
clip_aad2d4266.wav,9
clip_65a714f22.wav,4
clip_f7f3271c6.wav,2
clip_c993149af.wav,9
clip_08a06f102.wav,4
clip_585e9db27.wav,3
clip_989eeaa90.wav,10
clip_93993aa97.wav,6
clip_fb3563c04.wav,4
clip_87cfa5ea0.wav,2
clip_4f9d74a2e.wav,9
clip_50d3c0953.wav,4
clip_9520f871d.wav,0
clip_6de62cca6.wav,8
clip_a18c23e6a.wav,10
clip_7ae22c160.wav,9
clip_a2acf563f.wav,5
clip_52b9587dd.wav,3
clip_55d7585a1.wav,4
clip_0a8b2d08e.wav,10
clip_876507b55.wav,3
clip_1a2ae27fa.wav,8
clip_7c0e3dcef.wav,5
clip_cc48a997e.wav,7
clip_6ff1f5045.wav,2
clip_7ab2d85f1.wav,5
clip_46043667b.wav,0
clip_1d85954c8.wav,9
clip_de5565618.wav,5
clip_ab9c49237.wav,6
clip_75eb440e2.wav,5
clip_f3ee78ea2.wav,8
clip_caa6dd775.wav,10
clip_1972f6a52.wav,4
clip_632304bb0.wav,10
clip_090ecd701.wav,9
clip_7c67b70d5.wav,6
clip_b88bd63a7.wav,7
clip_a17475eeb.wav,6
clip_a2d384532.wav,8
clip_714a5fb5c.wav,0
clip_404b67291.wav,10
clip_5ada68047.wav,2
clip_248473099.wav,6
clip_3a948505a.wav,9
clip_e9eff3c70.wav,3
clip_381217f65.wav,1
clip_edee03d8a.wav,5
clip_f7048da77.wav,1
clip_ade64016c.wav,7
clip_5aaa8474d.wav,10
clip_ac1791cd0.wav,2
clip_921b47f41.wav,3
clip_680a719c1.wav,6
clip_db04d04d7.wav,3
clip_d9fb21f61.wav,9
clip_c331878f4.wav,6
clip_50812396c.wav,8
clip_76b8c54ea.wav,5
clip_bd4cb3caf.wav,5
clip_4ef2769cd.wav,1
clip_4feddaaa5.wav,1
clip_71cba8ead.wav,6
clip_5f1515972.wav,2
clip_2f5a54657.wav,6
clip_1196949d4.wav,6
clip_0f8565de9.wav,5
clip_4dcd247fd.wav,7
clip_853cde388.wav,9
clip_ddc495e1b.wav,8
clip_8b6426b30.wav,3
clip_53f1d60c8.wav,10
clip_8f58181b9.wav,7
clip_996a9f6c2.wav,8
clip_b162d6029.wav,9
clip_c37b03089.wav,1
clip_44031688e.wav,0
clip_7a6191478.wav,10
clip_2e61cad71.wav,6
clip_edf99a2af.wav,3
clip_bc362cc06.wav,7
clip_cf60af154.wav,0
clip_552a39277.wav,9
clip_6836ac6a4.wav,10
clip_0c82ea0b4.wav,8
clip_a700c6f2c.wav,5
clip_5c9c79447.wav,0
clip_de20fa90b.wav,10
clip_6673e6957.wav,1
clip_f6fe3d689.wav,4
clip_bd9cf7a69.wav,0
clip_c926b1177.wav,1
clip_27192cf15.wav,6
clip_a68e286d2.wav,1
clip_9a48bdc77.wav,9
clip_ea45900a3.wav,5
clip_9d4106354.wav,3
clip_839067be8.wav,7
clip_10be9fb14.wav,0
clip_a145d33c1.wav,0
clip_6aebe6d76.wav,10
clip_1211acae8.wav,3
clip_0bec6b65c.wav,7
clip_ec5366db2.wav,0
clip_c83aa6ea6.wav,7
clip_adde6e8b8.wav,7
clip_dc44a0110.wav,6
clip_5e6a9c964.wav,2
clip_76424a2f9.wav,9
clip_a49db25e1.wav,0
clip_040b79cfc.wav,9
clip_a7fcb9b9c.wav,9
clip_ccc1c943d.wav,9
clip_0de736078.wav,5
clip_1d051f36f.wav,9
clip_e80ceaeac.wav,6
clip_d5cc9374a.wav,4
clip_d689b5a09.wav,3
clip_24a127cae.wav,0
clip_3ebb8d4e6.wav,8
clip_bbc8b04e7.wav,8
clip_049869f10.wav,0
clip_6ec36a89a.wav,0
clip_b1ddb9351.wav,0
clip_8cf072c37.wav,7
clip_7bfa50b4a.wav,1
clip_9c5fa0575.wav,5
clip_80629f54b.wav,9
clip_7057fc79b.wav,10
clip_bd792946d.wav,6
clip_a2913c1e0.wav,7
clip_3b3201da2.wav,5
clip_b6aad848f.wav,6
clip_47297e7e8.wav,1
clip_8b7cec286.wav,8
clip_a5e3a42d5.wav,4
clip_4329b2155.wav,3
clip_fef921293.wav,9
clip_8baea5c71.wav,4
clip_76fed38b7.wav,6
clip_88e24502a.wav,8
clip_f4a4ff87c.wav,4
clip_0b68aff2e.wav,2
clip_508ec4489.wav,9
clip_5bc988f0b.wav,8
clip_f598c57b6.wav,5
clip_2b0238c8f.wav,5
clip_bac9695a0.wav,4
clip_260637bf1.wav,0
clip_4b63383e9.wav,9
clip_bd53ee4af.wav,9
clip_5108ab0c7.wav,6
clip_4432e2e62.wav,9
clip_277b80232.wav,6
clip_19353a463.wav,9
clip_33caa59d6.wav,6
clip_734a5b2c0.wav,6
clip_e32643411.wav,0
clip_4b95fcf09.wav,7
clip_0af509636.wav,8
clip_f4bbc7f99.wav,2
clip_e72600b04.wav,5
clip_baa1eea6b.wav,7
clip_0b25c6d24.wav,6
clip_c25f7bce0.wav,9
clip_b0b9816a9.wav,9
clip_bc51fcb5d.wav,8
clip_fd77d9c52.wav,5
clip_32d285460.wav,5
